,name,link,iso,region
0,Abra,/wiki/Abra_(province),PH-ABR,CAR
1,Agusan del Norte,/wiki/Agusan_del_Norte,PH-AGN,XIII
2,Agusan del Sur,/wiki/Agusan_del_Sur,PH-AGS,XIII
3,Aklan,/wiki/Aklan,PH-AKL,VI
4,Albay,/wiki/Albay,PH-ALB,V
5,Antique,/wiki/Antique_(province),PH-ANT,VI
6,Apayao,/wiki/Apayao,PH-APA,CAR
7,Aurora,/wiki/Aurora_(province),PH-AUR,III
8,Basilan,/wiki/Basilan,PH-BAS,BARMM
9,Bataan,/wiki/Bataan,PH-BAN,III
10,Batanes,/wiki/Batanes,PH-BTN,II
11,Batangas,/wiki/Batangas,PH-BTG,IV-A
12,Benguet,/wiki/Benguet,PH-BEN,CAR
13,Biliran,/wiki/Biliran,PH-BIL,VIII
14,Bohol,/wiki/Bohol,PH-BOH,VII
15,Bukidnon,/wiki/Bukidnon,PH-BUK,X
16,Bulacan,/wiki/Bulacan,PH-BUL,III
17,Cagayan,/wiki/Cagayan,PH-CAG,II
18,Camarines Norte,/wiki/Camarines_Norte,PH-CAN,V
19,Camarines Sur,/wiki/Camarines_Sur,PH-CAS,V
20,Camiguin,/wiki/Camiguin,PH-CAM,X
21,Capiz,/wiki/Capiz,PH-CAP,VI
22,Catanduanes,/wiki/Catanduanes,PH-CAT,V
23,Cavite,/wiki/Cavite,PH-CAV,IV-A
24,Cebu,/wiki/Cebu,PH-CEB,VII
25,Cotabato,/wiki/Cotabato,PH-NCO,XII
26,Davao de Oro,/wiki/Davao_de_Oro,PH-COM,XI
27,Davao del Norte,/wiki/Davao_del_Norte,PH-DAV,XI
28,Davao del Sur,/wiki/Davao_del_Sur,PH-DAS,XI
29,Davao Occidental,/wiki/Davao_Occidental,PH-DVO,XI
30,Davao Oriental,/wiki/Davao_Oriental,PH-DAO,XI
31,Dinagat Islands,/wiki/Dinagat_Islands,PH-DIN,XIII
32,Eastern Samar,/wiki/Eastern_Samar,PH-EAS,VIII
33,Guimaras,/wiki/Guimaras,PH-GUI,VI
34,Ifugao,/wiki/Ifugao,PH-IFU,CAR
35,Ilocos Norte,/wiki/Ilocos_Norte,PH-ILN,I
36,Ilocos Sur,/wiki/Ilocos_Sur,PH-ILS,I
37,Iloilo,/wiki/Iloilo,PH-ILI,VI
38,Isabela,/wiki/Isabela_(province),PH-ISA,II
39,Kalinga,/wiki/Kalinga_(province),PH-KAL,CAR
40,La Union,/wiki/La_Union,PH-LUN,I
41,Laguna,/wiki/Laguna_(province),PH-LAG,IV-A
42,Lanao del Norte,/wiki/Lanao_del_Norte,PH-LAN,X
43,Lanao del Sur,/wiki/Lanao_del_Sur,PH-LAS,BARMM
44,Leyte,/wiki/Leyte_(province),PH-LEY,VIII
45,Maguindanao del Norte,/wiki/Maguindanao_del_Norte,PH-MDN,BARMM
46,Maguindanao del Sur,/wiki/Maguindanao_del_Sur,PH-MDS,BARMM
47,Marinduque,/wiki/Marinduque,PH-MAD,Mimaropa
48,Masbate,/wiki/Masbate,PH-MAS,V
49,Misamis Occidental,/wiki/Misamis_Occidental,PH-MSC,X
50,Misamis Oriental,/wiki/Misamis_Oriental,PH-MSR,X
51,Mountain Province,/wiki/Mountain_Province,PH-MOU,CAR
52,Negros Occidental,/wiki/Negros_Occidental,PH-NEC,NIR
53,Negros Oriental,/wiki/Negros_Oriental,PH-NER,NIR
54,Northern Samar,/wiki/Northern_Samar,PH-NSA,VIII
55,Nueva Ecija,/wiki/Nueva_Ecija,PH-NUE,III
56,Nueva Vizcaya,/wiki/Nueva_Vizcaya,PH-NUV,II
57,Occidental Mindoro,/wiki/Occidental_Mindoro,PH-MDC,Mimaropa
58,Oriental Mindoro,/wiki/Oriental_Mindoro,PH-MDR,Mimaropa
59,Palawan,/wiki/Palawan,PH-PLW,Mimaropa
60,Pampanga,/wiki/Pampanga,PH-PAM,III
61,Pangasinan,/wiki/Pangasinan,PH-PAN,I
62,Quezon,/wiki/Quezon,PH-QUE,IV-A
63,Quirino,/wiki/Quirino,PH-QUI,II
64,Rizal,/wiki/Rizal_(province),PH-RIZ,IV-A
65,Romblon,/wiki/Romblon,PH-ROM,Mimaropa
66,Samar,/wiki/Samar_(province),PH-WSA,VIII
67,Sarangani,/wiki/Sarangani,PH-SAR,XII
68,Siquijor,/wiki/Siquijor,PH-SIG,NIR
69,Sorsogon,/wiki/Sorsogon,PH-SOR,V
70,South Cotabato,/wiki/South_Cotabato,PH-SCO,XII
71,Southern Leyte,/wiki/Southern_Leyte,PH-SLE,VIII
72,Sultan Kudarat,/wiki/Sultan_Kudarat,PH-SUK,XII
73,Sulu,/wiki/Sulu,PH-SLU,BARMM
74,Surigao del Norte,/wiki/Surigao_del_Norte,PH-SUN,XIII
75,Surigao del Sur,/wiki/Surigao_del_Sur,PH-SUR,XIII
76,Tarlac,/wiki/Tarlac,PH-TAR,III
77,Tawi-Tawi,/wiki/Tawi-Tawi,PH-TAW,BARMM
78,Zambales,/wiki/Zambales,PH-ZMB,III
79,Zamboanga del Norte,/wiki/Zamboanga_del_Norte,PH-ZAN,IX
80,Zamboanga del Sur,/wiki/Zamboanga_del_Sur,PH-ZAS,IX
81,Zamboanga Sibugay,/wiki/Zamboanga_Sibugay,PH-ZSI,IX
82,Metro Manila,/wiki/Metro_Manila,PH-00,NCR
