,id,name,link
0,NCR,National Capital Region,/wiki/Metro_Manila
1,CAR,Cordillera Administrative Region,/wiki/Cordillera_Administrative_Region
2,Region I,Ilocos Region,/wiki/Ilocos_Region
3,Region II,Cagayan Valley,/wiki/Cagayan_Valley
4,Region III,Central Luzon,/wiki/Central_Luzon
5,Region IV-A,Calabarzon,/wiki/Calabarzon
6,Mimaropa,Southwestern Tagalog Region,/wiki/Mimaropa
7,Region V,Bicol Region,/wiki/Bicol_Region
8,Region VI,Western Visayas,/wiki/Western_Visayas
9,NIR,Negros Island Region,/wiki/Negros_Island_Region
10,Region VII,Central Visayas,/wiki/Central_Visayas
11,Region VIII,Eastern Visayas,/wiki/Eastern_Visayas
12,Region IX,Zamboanga Peninsula,/wiki/Zamboanga_Peninsula
13,Region X,Northern Mindanao,/wiki/Northern_Mindanao
14,Region XI,Davao Region,/wiki/Davao_Region
15,Region XII,Soccsksargen,/wiki/Soccsksargen
16,Region XIII,Caraga,/wiki/Caraga
17,BARMM,Bangsamoro,/wiki/Bangsamoro
